"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","467","Search: navigate and search","Microsoft Edge","2026-02-20","failed","2026-02-20","","Testing_Filters.spec.ts","",""
"","9548","@smoke @sanity Plus: open and log pricing","chromium","2026-02-20","passed","2026-02-20","","Price_Validation.spec.ts","",""
"","1","Filters: iterate languages 0-4 and list levels","Microsoft Edge","2026-02-20","skipped","2026-02-20","","Language_Filters.spec.ts","",""
"","6810","Search: apply filters","chromium","2026-02-20","passed","2026-02-20","","Testing_Filters.spec.ts","",""
"","47896","@smoke @sanity Plus: open and log pricing","Mobile Safari","2026-02-20","failed","2026-02-20","","Price_Validation.spec.ts","",""
"","13332","Filters: iterate languages 0-4 and list levels","chromium","2026-02-20","passed","2026-02-20","","Language_Filters.spec.ts","",""
"","3236","University: re-submit and validate error","chromium","2026-02-20","passed","2026-02-20","","Handling_Form.spec.ts","",""
"","10736","Filters: open and count languages","chromium","2026-02-20","passed","2026-02-20","","Language_Filters.spec.ts","",""
"","60006","@smoke @sanity University: open and submit form","Mobile Safari","2026-02-20","broken","2026-02-20","","Handling_Form.spec.ts","",""
"","491","@smoke @sanity Plus: open and log pricing","Microsoft Edge","2026-02-20","failed","2026-02-20","","Price_Validation.spec.ts","",""
"","3636","University: re-submit and validate error","chromium","2026-02-20","passed","2026-02-20","","Handling_Form.spec.ts","",""
"","11342","@smoke @sanity Filters: open and count languages","chromium","2026-02-20","passed","2026-02-20","","Language_Filters.spec.ts","",""
"","0","Search: read top 2 course cards","Microsoft Edge","2026-02-20","skipped","2026-02-20","","Testing_Filters.spec.ts","",""
"","308","University: re-submit and validate error","Google Chrome","2026-02-20","passed","2026-02-20","","Handling_Form.spec.ts","",""
"","0","Search: read top 2 course cards","Mobile Safari","2026-02-20","skipped","2026-02-20","","Testing_Filters.spec.ts","",""
"","0","Search: apply filters","Mobile Safari","2026-02-20","skipped","2026-02-20","","Testing_Filters.spec.ts","",""
"","2497","@smoke @sanity Filters: open and count languages","Microsoft Edge","2026-02-20","failed","2026-02-20","","Language_Filters.spec.ts","",""
"","13007","@smoke @sanity University: open and submit form","Google Chrome","2026-02-20","passed","2026-02-20","","Handling_Form.spec.ts","",""
"","10221","Filters: open and count languages","Google Chrome","2026-02-20","passed","2026-02-20","","Language_Filters.spec.ts","",""
"","3805","University: re-submit and validate error","Google Chrome","2026-02-20","passed","2026-02-20","","Handling_Form.spec.ts","",""
"","4","@smoke @sanity University: open and submit form","Microsoft Edge","2026-02-20","failed","2026-02-20","","Handling_Form.spec.ts","",""
"","11413","@smoke @sanity Plus: open and log pricing","Google Chrome","2026-02-20","passed","2026-02-20","","Price_Validation.spec.ts","",""
"","1","University: re-submit and validate error","Microsoft Edge","2026-02-20","skipped","2026-02-20","","Handling_Form.spec.ts","",""
"","1","Search: apply filters","Microsoft Edge","2026-02-20","skipped","2026-02-20","","Testing_Filters.spec.ts","",""
"","0","University: re-submit and validate error","Mobile Safari","2026-02-20","skipped","2026-02-20","","Handling_Form.spec.ts","",""
"","4819","Search: navigate and search","Google Chrome","2026-02-20","passed","2026-02-20","","Testing_Filters.spec.ts","",""
"","147","@sanity Plus: validate pricing again","Google Chrome","2026-02-20","passed","2026-02-20","","Price_Validation.spec.ts","",""
"","528","University: open and submit form","Microsoft Edge","2026-02-20","failed","2026-02-20","","Handling_Form.spec.ts","",""
"","14991","@smoke @sanity Filters: open and count languages","Google Chrome","2026-02-20","passed","2026-02-20","","Language_Filters.spec.ts","",""
"","1","@sanity Plus: validate pricing again","Mobile Safari","2026-02-20","skipped","2026-02-20","","Price_Validation.spec.ts","",""
"","555","Filters: open and count languages","Microsoft Edge","2026-02-20","failed","2026-02-20","","Language_Filters.spec.ts","",""
"","1","@smoke @sanity Filters: iterate languages 0-4 and list levels","Microsoft Edge","2026-02-20","skipped","2026-02-20","","Language_Filters.spec.ts","",""
"","7861","@smoke Plus: open and log pricing","chromium","2026-02-20","passed","2026-02-20","","Price_Validation.spec.ts","",""
"","12983","University: open and submit form","Google Chrome","2026-02-20","passed","2026-02-20","","Handling_Form.spec.ts","",""
"","0","@smoke @sanity Filters: iterate languages 0-4 and list levels","Mobile Safari","2026-02-20","skipped","2026-02-20","","Language_Filters.spec.ts","",""
"","804","Search: read top 2 course cards","chromium","2026-02-20","passed","2026-02-20","","Testing_Filters.spec.ts","",""
"","1","Plus: validate pricing again","Microsoft Edge","2026-02-20","skipped","2026-02-20","","Price_Validation.spec.ts","",""
"","6848","Search: navigate and search","chromium","2026-02-20","passed","2026-02-20","","Testing_Filters.spec.ts","",""
"","19207","@smoke @sanity Filters: iterate languages 0-4 and list levels","Google Chrome","2026-02-20","passed","2026-02-20","","Language_Filters.spec.ts","",""
"","1","University: re-submit and validate error","Microsoft Edge","2026-02-20","skipped","2026-02-20","","Handling_Form.spec.ts","",""
"","2","Plus: open and log pricing","Microsoft Edge","2026-02-20","failed","2026-02-20","","Price_Validation.spec.ts","",""
"","1","@sanity Plus: validate pricing again","Microsoft Edge","2026-02-20","skipped","2026-02-20","","Price_Validation.spec.ts","",""
"","5020","@sanity University: re-submit and validate error","chromium","2026-02-20","failed","2026-02-20","","Handling_Form.spec.ts","",""
"","10066","Plus: open and log pricing","chromium","2026-02-20","passed","2026-02-20","","Price_Validation.spec.ts","",""
"","259","Plus: validate pricing again","chromium","2026-02-20","passed","2026-02-20","","Price_Validation.spec.ts","",""
"","13987","Filters: iterate languages 0-4 and list levels","Google Chrome","2026-02-20","passed","2026-02-20","","Language_Filters.spec.ts","",""
"","60004","@smoke @sanity Filters: open and count languages","Mobile Safari","2026-02-20","broken","2026-02-20","","Language_Filters.spec.ts","",""
"","15271","@smoke @sanity Filters: iterate languages 0-4 and list levels","chromium","2026-02-20","passed","2026-02-20","","Language_Filters.spec.ts","",""
"","12248","@smoke @sanity University: open and submit form","chromium","2026-02-20","passed","2026-02-20","","Handling_Form.spec.ts","",""
"","13823","Plus: open and log pricing","Google Chrome","2026-02-20","passed","2026-02-20","","Price_Validation.spec.ts","",""
"","1103","Search: read top 2 course cards","Google Chrome","2026-02-20","passed","2026-02-20","","Testing_Filters.spec.ts","",""
"","11322","University: open and submit form","chromium","2026-02-20","passed","2026-02-20","","Handling_Form.spec.ts","",""
"","7055","Search: apply filters","Google Chrome","2026-02-20","passed","2026-02-20","","Testing_Filters.spec.ts","",""
"","331","@sanity Plus: validate pricing again","chromium","2026-02-20","passed","2026-02-20","","Price_Validation.spec.ts","",""
"","184","Plus: validate pricing again","Google Chrome","2026-02-20","passed","2026-02-20","","Price_Validation.spec.ts","",""
"","60012","Search: navigate and search","Mobile Safari","2026-02-20","broken","2026-02-20","","Testing_Filters.spec.ts","",""
"","12596","@smoke University: open and submit form","chromium","2026-02-20","passed","2026-02-20","","Handling_Form.spec.ts","",""
